Name,Length,Width,Height,Wheelbase,Front Overhang,Rear Overhang
2016_Hyundai_Ioniq,4.47,1.82,1.45,2.7,0.88,0.89
2020_Kia_Stinger,4.83,1.87,1.4,2.905,0.83,1.095
2021_Hyundai_G80,4.955,1.925,1.465,3.01,0.845,1.14
2019_Toyota_Prius,4.575,1.76,1.47,2.7,0.96,0.915
2019_hyundai_genesis_g90,5.205,1.915,1.495,3.16,0.86,1.185
2016_Hyundai_Genesis_DH,4.99,1.89,1.48,3.01,0.845,1.135
2016_Hyundai_Santafe,4.7,1.88,1.69,2.7,0.94,1.06
2017_Kia_Sorento,4.8,1.89,1.69,2.78,0.945,1.075
2017_Kia_Niro(HEV),4.355,1.805,1.545,2.7,0.87,0.785
2020_chlyser_pacifica_hybrid,4.375,1.805,1.56,2.7,0.87,0.785
2019_Hyundai_Nexo,4.67,1.86,1.63,2.79,0.96,0.92
2020_volvo_xc90,4.953,1.96,1.776,2.984,0.89,1.079
2021_Hyundai_Genesis_GV80,4.945,1.975,1.715,2.955,0.88,1.11
2019_kia_sedona,5.155,1.985,1.74,3.06,0.955,1.1
2021_Kia_Carnival,5.155,1.995,1.75,3.09,0.935,1.13
2021_Volkswagen_Golf_GTI,4.268,1.799,1.467,2.63,8.52,7.89
2020_Kia_Niro(EV),4.375,1.805,1.56,2.7,0.785,0.87
